"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-29","8.05",,"0.00",,"0.0","0.0","65","77","51",,"  320","  310",,"19.9","25.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-04-30","11.41",,"0.00",,"0.0","0.0","61","72","50",,"   90","   90",,"21.9","27.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-01","8.28",,"0.00",,"0.0","0.0","56","64","49",,"   50","   80",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-02","4.70",,"0.00",,"0.0","0.0","58","74","47",,"  180","  160",,"14.1","18.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-03","4.70",,"0.00",,"0.0","0.0","64","81","49",,"  130","  150",,"15.0","19.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-04","8.28",,"0.00",,"0.0","0.0","70","85","54",,"  220","  220",,"21.9","29.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-05","8.28",,"0.00",,"0.0","0.0","73","85","62",,"  240","  240",,"18.1","21.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-06","7.38",,"0.00",,"0.0","0.0","71","77","57",,"   40","   80",,"19.9","25.1","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-07","5.37",,"0.00",,"0.0","0.0","67","81","57",,"  190","  260",,"13.0","17.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-08","5.14",,"0.00",,"0.0","0.0","69","83","55",,"  250","  260",,"15.0","19.0","    1","    1",,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-09","5.14",,"0.03",,"0.0","0.0","69","80","60",,"   90","   90",,"13.0","16.1","    1",,,,,,"    1",
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-10","7.16",,"0.00",,"0.0","0.0","73","84","67",,"  250","  250",,"21.0","23.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-11","6.71",,"0.00",,"0.0","0.0","75","84","69",,"  190","  180",,"18.1","21.9","    1",,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-12","13.42",,"0.00",,"0.0","0.0","76","88","66",,"  320","  320",,"29.1","36.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-13","15.66",,"0.00",,"0.0","0.0","69","72","54",,"  320","  320",,"28.0","35.1",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-14","8.50",,"0.00",,"0.0","0.0","60","72","50",,"  340","  340",,"16.1","21.9",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-15","8.50",,"0.00",,"0.0","0.0","64","76","54",,"  190","  190",,"17.0","23.0",,,,,,,,
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","2015-05-16","6.93",,"0.33",,"0.0","0.0","70","86","59",,"  280","  280",,"28.0","34.0","    1",,"    1",,,,,
